"name","name_cbs2","pos","team_cbs2","positionRank_cbs2","overallRank_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","passCompPct_cbs2","passYdsPerAtt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushYdsPerAtt_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recYdsPerRec_cbs2","recTds_cbs2","twoPts_cbs2","fumbles_cbs2","pts_cbs2"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,1,630,424,5457,44,14,67.3,8.7,15,0,0,0,NA,NA,NA,NA,NA,3,440
"DREWBREES","Drew Brees","QB","NO",2,2,633,421,5168,41,16,66.5,8.2,30,57,1.9,0,NA,NA,NA,NA,NA,2,410
"AARONRODGERS","Aaron Rodgers","QB","GB",3,3,564,378,4964,36,8,67,8.8,45,187,4.2,2,NA,NA,NA,NA,NA,3,408
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",4,4,637,408,5207,38,19,64.1,8.2,32,70,2.2,0,NA,NA,NA,NA,NA,3,388
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",5,5,550,348,4326,29,10,63.3,7.9,87,461,5.3,4,NA,NA,NA,NA,NA,2,375
"NICKFOLES","Nick Foles","QB","PHI",6,6,612,399,4870,32,15,65.2,8,58,199,3.4,1,NA,NA,NA,NA,NA,3,362
"TOMBRADY","Tom Brady","QB","NE",7,7,644,412,4877,34,15,64,7.6,31,42,1.4,1,NA,NA,NA,NA,NA,4,361
"MATTRYAN","Matt Ryan","QB","ATL",8,8,635,407,4781,30,14,64.1,7.5,21,54,2.6,1,NA,NA,NA,NA,NA,3,336
"TONYROMO","Tony Romo","QB","DAL",9,9,631,397,4582,33,16,62.9,7.3,26,50,1.9,0,NA,NA,NA,NA,NA,4,335
"ANDREWLUCK","Andrew Luck","QB","IND",10,10,551,346,4279,27,15,62.8,7.8,60,292,4.9,3,NA,NA,NA,NA,NA,2,329
"JAYCUTLER","Jay Cutler","QB","CHI",11,11,544,341,4102,31,14,62.7,7.5,21,86,4.1,2,NA,NA,NA,NA,NA,3,326
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",12,12,553,336,4230,25,16,60.8,7.6,78,406,5.2,3,NA,NA,NA,NA,NA,3,324
"PHILIPRIVERS","Philip Rivers","QB","SD",13,13,587,389,4766,30,17,66.3,8.1,31,68,2.2,0,NA,NA,NA,NA,NA,4,322
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",14,14,626,400,4641,30,17,63.9,7.4,32,91,2.8,0,NA,NA,NA,NA,NA,3,321
"CAMNEWTON","Cam Newton","QB","CAR",15,15,526,316,3840,24,15,60.1,7.3,95,445,4.7,5,NA,NA,NA,NA,NA,4,317
"CARSONPALMER","Carson Palmer","QB","ARI",16,16,568,356,4522,33,25,62.7,8,25,8,0.3,0,NA,NA,NA,NA,NA,4,314
"SAMBRADFORD","Sam Bradford","QB","STL",17,17,515,318,3794,30,13,61.7,7.4,34,111,3.3,1,NA,NA,NA,NA,NA,2,304
"RUSSELLWILSON","Russell Wilson","QB","SEA",18,18,484,304,3955,26,16,62.8,8.2,81,328,4,2,NA,NA,NA,NA,NA,4,302
"ANDYDALTON","Andy Dalton","QB","CIN",19,19,534,336,3878,29,16,62.9,7.3,57,161,2.8,1,NA,NA,NA,NA,NA,3,297
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",20,20,622,382,4584,22,18,61.4,7.4,58,274,4.7,2,NA,NA,NA,NA,NA,4,295
"ALEXSMITH","Alex Smith","QB","KC",21,21,551,332,3829,21,10,60.3,6.9,56,235,4.2,2,NA,NA,NA,NA,NA,3,272
"JOSHMCCOWN","Josh McCown","QB","TB",22,22,511,318,3541,27,14,62.2,6.9,32,61,1.9,1,NA,NA,NA,NA,NA,2,270
"ELIMANNING","Eli Manning","QB","NYG",23,23,504,330,3882,25,13,65.5,7.7,28,31,1.1,0,NA,NA,NA,NA,NA,2,267
"JOEFLACCO","Joe Flacco","QB","BAL",24,24,540,330,4169,24,17,61.1,7.7,29,64,2.2,0,NA,NA,NA,NA,NA,3,266
"JAMAALCHARLES","Jamaal Charles","RB","KC",1,25,NA,NA,NA,NA,NA,NA,NA,268,1304,4.9,9,65,525,8.1,3,NA,1,237
"JAKELOCKER","Jake Locker","QB","TEN",25,26,467,287,3239,19,12,61.5,6.9,40,201,5,2,NA,NA,NA,NA,NA,3,231
"TEDDYBRIDGEWATER","Teddy Bridgewater","QB","MIN",26,27,396,248,3147,19,8,62.6,7.9,36,135,3.8,2,NA,NA,NA,NA,NA,1,230
"LESEANMCCOY","LeSean McCoy","RB","PHI",2,28,NA,NA,NA,NA,NA,NA,NA,287,1410,4.9,10,34,298,8.8,2,NA,2,222
"MATTFORTE","Matt Forte","RB","CHI",2,28,NA,NA,NA,NA,NA,NA,NA,281,1256,4.5,8,62,508,8.2,3,NA,2,222
"CALVINJOHNSON","Calvin Johnson","WR","DET",1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,1550,16.7,13,NA,1,222
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1466,15.1,13,NA,0,217
"EJMANUEL","EJ Manuel","QB","BUF",27,32,406,238,2891,19,14,58.6,7.1,57,195,3.4,2,NA,NA,NA,NA,NA,3,213
"GENOSMITH","Geno Smith","QB","NYJ",28,33,403,248,2927,15,12,61.5,7.3,41,177,4.3,4,NA,NA,NA,NA,NA,3,205
"ADRIANPETERSON","Adrian Peterson","RB","MIN",4,34,NA,NA,NA,NA,NA,NA,NA,281,1277,4.5,10,42,289,6.9,1,NA,2,202
"DEZBRYANT","Dez Bryant","WR","DAL",3,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1353,13.5,12,NA,1,197
"JULIOJONES","Julio Jones","WR","ATL",4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1473,14.9,9,NA,0,195
"JIMMYGRAHAM","Jimmy Graham","TE","NO",1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1238,14.2,13,NA,0,194
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,1298,12.2,11,NA,0,189
"AJGREEN","A.J. Green","WR","CIN",6,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1288,14.3,11,NA,0,187
"JORDYNELSON","Jordy Nelson","WR","GB",7,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1280,15.6,11,NA,1,185
"EDDIELACY","Eddie Lacy","RB","GB",5,41,NA,NA,NA,NA,NA,NA,NA,269,1148,4.3,9,34,231,6.8,1,NA,1,180
"MONTEEBALL","Montee Ball","RB","DEN",6,42,NA,NA,NA,NA,NA,NA,NA,247,1075,4.4,9,33,306,9.3,1,NA,2,179
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",29,43,395,234,2689,12,11,59.2,6.8,55,256,4.7,3,NA,NA,NA,NA,NA,3,178
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",7,44,NA,NA,NA,NA,NA,NA,NA,251,1147,4.6,9,46,273,5.9,0,NA,2,177
"ALFREDMORRIS","Alfred Morris","RB","WAS",8,45,NA,NA,NA,NA,NA,NA,NA,279,1291,4.6,9,10,70,7,0,NA,2,174
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",9,46,NA,NA,NA,NA,NA,NA,NA,252,1038,4.1,6,50,406,8.1,2,NA,2,172
"LEVEONBELL","Le'Veon Bell","RB","PIT",10,47,NA,NA,NA,NA,NA,NA,NA,257,1096,4.3,7,41,319,7.8,1,NA,1,170
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",11,48,NA,NA,NA,NA,NA,NA,NA,269,1134,4.2,9,20,140,7,1,NA,1,169
"ZACSTACY","Zac Stacy","RB","STL",12,49,NA,NA,NA,NA,NA,NA,NA,270,1164,4.3,8,27,153,5.7,1,NA,2,165
"ANTONIOBROWN","Antonio Brown","WR","PIT",8,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,1235,12.2,8,NA,0,165
"DOUGMARTIN","Doug Martin","RB","TB",13,51,NA,NA,NA,NA,NA,NA,NA,278,1164,4.2,7,30,200,6.7,1,NA,2,164
"ARIANFOSTER","Arian Foster","RB","HOU",14,52,NA,NA,NA,NA,NA,NA,NA,255,1097,4.3,6,37,269,7.3,2,NA,2,163
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",9,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1216,15.8,8,NA,0,163
"MICHAELCRABTREE","Michael Crabtree","WR","SF",10,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1165,15.1,9,NA,1,160
"RANDALLCOBB","Randall Cobb","WR","GB",10,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,1113,14.1,8,NA,1,160
"TOBYGERHART","Toby Gerhart","RB","JAC",15,56,NA,NA,NA,NA,NA,NA,NA,263,1090,4.1,7,26,197,7.6,1,NA,1,159
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",12,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1041,12.9,10,NA,0,157
"MATTSCHAUB","Matt Schaub","QB","OAK",30,58,373,223,2608,14,10,59.8,7,26,31,1.2,0,NA,NA,NA,NA,NA,3,156
"ANDREELLINGTON","Andre Ellington","RB","ARI",16,58,NA,NA,NA,NA,NA,NA,NA,216,978,4.5,4,46,402,8.7,2,NA,2,156
"VINCENTJACKSON","Vincent Jackson","WR","TB",13,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1078,15,9,NA,0,154
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1023,13.3,10,NA,0,154
"BLAKEBORTLES","Blake Bortles","QB","JAC",31,62,325,198,2359,13,10,60.9,7.3,30,104,3.5,2,NA,NA,NA,NA,NA,3,153
"RYANMATHEWS","Ryan Mathews","RB","SD",17,63,NA,NA,NA,NA,NA,NA,NA,259,1086,4.2,7,20,133,6.7,1,NA,1,152
"ANDREJOHNSON","Andre Johnson","WR","HOU",14,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1219,14.5,6,NA,0,150
"JULIUSTHOMAS","Julius Thomas","TE","DEN",3,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1003,12.2,10,NA,1,150
"BISHOPSANKEY","Bishop Sankey","RB","TEN",18,66,NA,NA,NA,NA,NA,NA,NA,258,1125,4.4,5,24,205,8.5,1,NA,2,149
"PIERREGARCON","Pierre Garcon","WR","WAS",15,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1203,13.4,6,NA,1,148
"KEENANALLEN","Keenan Allen","WR","SD",16,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1009,15.8,9,NA,1,146
"SHANEVEREEN","Shane Vereen","RB","NE",19,69,NA,NA,NA,NA,NA,NA,NA,148,640,4.3,2,56,534,9.5,5,NA,0,145
"VERNONDAVIS","Vernon Davis","TE","SF",4,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,855,14,11,NA,0,144
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",17,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1026,15.5,8,NA,0,143
"TOMSAVAGE","Tom Savage","QB","HOU",32,72,317,183,2304,14,12,57.7,7.3,18,35,1.9,0,NA,NA,NA,NA,NA,1,142
"MICHAELFLOYD","Michael Floyd","WR","ARI",18,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1078,14.2,7,NA,0,142
"JOIQUEBELL","Joique Bell","RB","DET",20,74,NA,NA,NA,NA,NA,NA,NA,183,757,4.1,7,40,355,8.9,1,NA,2,140
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",19,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,939,14.7,7,NA,0,140
"REGGIEBUSH","Reggie Bush","RB","DET",21,76,NA,NA,NA,NA,NA,NA,NA,192,813,4.2,4,43,352,8.2,3,NA,2,139
"RAYRICE","Ray Rice","RB","BAL",22,77,NA,NA,NA,NA,NA,NA,NA,189,848,4.5,5,43,355,8.3,1,NA,2,138
"RODDYWHITE","Roddy White","WR","ATL",20,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,1036,12.3,7,NA,0,137
"CJSPILLER","C.J. Spiller","RB","BUF",23,79,NA,NA,NA,NA,NA,NA,NA,218,998,4.6,5,38,195,5.1,1,NA,2,136
"WESWELKER","Wes Welker","WR","DEN",21,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,918,11.6,9,NA,1,136
"VICTORCRUZ","Victor Cruz","WR","NYG",22,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1031,13.6,7,NA,1,135
"RASHADJENNINGS","Rashad Jennings","RB","NYG",24,82,NA,NA,NA,NA,NA,NA,NA,219,897,4.1,5,41,286,7,1,NA,2,134
"FRANKGORE","Frank Gore","RB","SF",24,82,NA,NA,NA,NA,NA,NA,NA,230,969,4.2,7,17,122,7.2,0,NA,1,134
"DESEANJACKSON","DeSean Jackson","WR","WAS",23,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,933,16.4,8,NA,0,134
"TORREYSMITH","Torrey Smith","WR","BAL",24,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1045,17.4,6,NA,0,133
"CHRISJOHNSON","Chris Johnson","RB","NYJ",26,86,NA,NA,NA,NA,NA,NA,NA,222,920,4.1,5,31,231,7.5,1,NA,2,131
"GOLDENTATE","Golden Tate","WR","DET",25,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,965,14.8,7,NA,1,130
"TRENTRICHARDSON","Trent Richardson","RB","IND",27,88,NA,NA,NA,NA,NA,NA,NA,211,826,3.9,7,32,247,7.7,0,NA,3,128
"MIKEWALLACE","Mike Wallace","WR","MIA",26,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,987,15.4,6,NA,0,128
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",27,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,987,13.5,6,NA,0,127
"MARQUESCOLSTON","Marques Colston","WR","NO",28,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,918,12.6,7,NA,0,126
"BENTATE","Ben Tate","RB","CLE",28,92,NA,NA,NA,NA,NA,NA,NA,228,940,4.1,7,20,106,5.3,0,NA,3,125
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",29,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,853,13.5,8,NA,1,125
"JORDANCAMERON","Jordan Cameron","TE","CLE",5,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,940,12.2,7,NA,1,125
"ERICDECKER","Eric Decker","WR","NYJ",30,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,968,12.9,6,NA,1,123
"KENDALLWRIGHT","Kendall Wright","WR","TEN",31,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,1008,11.3,5,NA,1,122
"RUEBENRANDLE","Rueben Randle","WR","NYG",32,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,880,13.3,7,NA,1,121
"SAMMYWATKINS","Sammy Watkins","WR","BUF",32,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,909,13.4,7,NA,2,121
"JULIANEDELMAN","Julian Edelman","WR","NE",32,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,931,11.4,6,NA,0,121
"JASONWITTEN","Jason Witten","TE","DAL",6,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,873,11.2,7,NA,0,121
"LAMARMILLER","Lamar Miller","RB","MIA",29,101,NA,NA,NA,NA,NA,NA,NA,194,851,4.4,5,33,213,6.5,0,NA,1,120
"BRANDINCOOKS","Brandin Cooks","WR","NO",35,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,923,14.4,6,NA,1,120
"TYHILTON","T.Y. Hilton","WR","IND",36,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,909,14.9,6,NA,0,119
"FREDJACKSON","Fred Jackson","RB","BUF",30,104,NA,NA,NA,NA,NA,NA,NA,151,634,4.2,7,36,308,8.6,0,NA,1,118
"STEVANRIDLEY","Stevan Ridley","RB","NE",30,104,NA,NA,NA,NA,NA,NA,NA,201,848,4.2,7,10,54,5.4,0,NA,2,118
"PIERRETHOMAS","Pierre Thomas","RB","NO",32,106,NA,NA,NA,NA,NA,NA,NA,166,660,4,5,41,265,6.5,2,NA,1,117
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",33,107,NA,NA,NA,NA,NA,NA,NA,204,791,3.9,5,32,240,7.5,0,NA,1,116
"MIKEEVANS","Mike Evans","WR","TB",37,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,820,13,7,NA,1,115
"PERCYHARVIN","Percy Harvin","WR","SEA",37,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,718,11.6,7,NA,0,115
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",39,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,865,15.2,6,NA,1,114
"DENNISPITTA","Dennis Pitta","TE","BAL",7,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,848,12.8,6,NA,0,114
"TERRANCEWEST","Terrance West","RB","CLE",34,112,NA,NA,NA,NA,NA,NA,NA,197,855,4.3,5,15,110,7.3,0,NA,0,112
"REGGIEWAYNE","Reggie Wayne","WR","IND",40,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,908,12.4,5,NA,0,112
"ZACHERTZ","Zach Ertz","TE","PHI",8,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,792,12.4,7,NA,1,111
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",9,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,767,11.6,7,NA,0,110
"GREGOLSEN","Greg Olsen","TE","CAR",10,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,801,12.3,6,NA,0,109
"JUSTINHUNTER","Justin Hunter","WR","TEN",41,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,854,15,5,NA,0,108
"RILEYCOOPER","Riley Cooper","WR","PHI",42,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,786,13.1,6,NA,0,107
"HARRYDOUGLAS","Harry Douglas","WR","ATL",42,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,794,11.7,6,NA,0,107
"JORDANREED","Jordan Reed","TE","WAS",11,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,795,12.4,6,NA,0,107
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",35,121,NA,NA,NA,NA,NA,NA,NA,170,721,4.2,4,26,231,8.9,1,NA,2,106
"DOUGBALDWIN","Doug Baldwin","WR","SEA",44,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,835,14.4,5,NA,0,106
"RYANFITZPATRICK","Ryan Fitzpatrick","QB","HOU",33,123,249,152,1748,10,11,61,7,17,56,3.3,1,NA,NA,NA,NA,NA,2,105
