"name","player","pos","team","rank","risk"
"JJWATT","J.J. Watt","DE","HOU",1,0
"LAVONTEDAVID","Lavonte David","LB","TB",2.5,0.5
"LUKEKUECHLY","Luke Kuechly","LB","CAR",3,1
"ROBERTQUINN","Robert Quinn","DE","STL",4.5,1.5
"VONTAZEBURFICT","Vontaze Burfict","LB","CIN",4.5,0.5
"PAULPOSLUSZNY","Paul Posluszny","LB","JAC",5.5,0.5
"CHANDLERJONES","Chandler Jones","DE","NE",7,0
"PATRICKWILLIS","Patrick Willis","LB","SF",8,0
"DERRICKJOHNSON","Derrick Johnson","LB","KC",9,0
"JERODMAYO","Jerod Mayo","LB","NE",10.5,0.5
"BOBBYWAGNER","Bobby Wagner","LB","SEA",11.5,1.5
"KARLOSDANSBY","Karlos Dansby","LB","CLE",12.5,1.5
"PAULWORRILOW","Paul Worrilow","LB","ATL",14,2
"BRIANCUSHING","Brian Cushing","LB","HOU",15.5,2.5
"GREGHARDY","Greg Hardy","DE","CAR",16,2
"CAMERONWAKE","Cameron Wake","DE","MIA",17.5,2.5
"CHADGREENWAY","Chad Greenway","LB","MIN",19.5,2.5
"JASONPIERREPAUL","Jason Pierre-Paul","DE","NYG",20,8
"JAMESLAURINAITIS","James Laurinaitis","LB","STL",20,1
"BARRYCHURCH","Barry Church","S","DAL",20.5,5.5
"ALECOGLETREE","Alec Ogletree","LB","STL",20.5,3.5
"DEMARCUSWARE","Demarcus Ware","DE","DEN",22.5,1.5
"WESLEYWOODYARD","Wesley Woodyard","LB","TEN",23,3
"ROBNINKOVICH","Rob Ninkovich","DE","NE",24,1
"HARRISONSMITH","Harrison Smith","S","MIN",25,9
"DANNYTREVATHAN","Danny Trevathan","LB","DEN",28.5,3.5
"ERICWEDDLE","Eric Weddle","S","SD",29,10
"VONMILLER","Von Miller","LB","DEN",29.5,7.5
"MARIOWILLIAMS","Mario Williams","DE","BUF",30.5,0.5
"CALAISCAMPBELL","Calais Campbell","DE","ARI",30.5,0.5
"CARLOSDUNLAP","Carlos Dunlap","DE","CIN",32.5,0.5
"CAMERONJORDAN","Cameron Jordan","DE","NO",34,7
"THOMASDAVIS","Thomas Davis","LB","CAR",34,7
"LAMARRHOUSTON","Lamarr Houston","DE","CHI",34,1
"MORGANBURNETT","Morgan Burnett","S","GB",35,7
"JOHNATHANCYPRIEN","Johnathan Cyprien","S","JAC",37,14
"EZEKIELANSAH","Ezekiel Ansah","DE","DET",37,2
"JERRELLFREEMAN","Jerrell Freeman","LB","IND",39,10
"LAWRENCETIMMONS","Lawrence Timmons","LB","PIT",39.5,3.5
"CURTISLOFTON","Curtis Lofton","LB","NO",41,7
"KENNYVACCARO","Kenny Vaccaro","S","NO",41.5,12.5
"DEMECORYANS","DeMeco Ryans","LB","PHI",44,8
"DQWELLJACKSON","D'Qwell Jackson","LB","IND",44,6
"MUHAMMADWILKERSON","Muhammad Wilkerson","DE","NYJ",46.5,8.5
"PERRYRILEY","Perry Riley","LB","WAS",46.5,6.5
"BRADJONES","Brad Jones","LB","GB",48,4
"TJWARD","T.J. Ward","S","DEN",48.5,1.5
"CHARLESJOHNSON","Charles Johnson","DE","CAR",48.5,0.5
"DARYLSMITH","Daryl Smith","LB","BAL",49.5,9.5
"DONALDBUTLER","Donald Butler","LB","SD",50.5,8.5
"JUSTINHOUSTON","Justin Houston","LB","KC",50.5,4.5
"CJMOSLEY","C.J. Mosley","LB","BAL",51,6
"STEPHENTULLOCH","Stephen Tulloch","LB","DET",51.5,4.5
"OLIVIERVERNON","Olivier Vernon","DE","MIA",53.5,9.5
"MICHAELJOHNSON","Michael Johnson","DE","TB",53.5,8.5
"MARKBARRON","Mark Barron","S","TB",54.5,11.5
"TYVONBRANCH","Tyvon Branch","S","OAK",55.5,18.5
"MASONFOSTER","Mason Foster","LB","TB",57,4
"JAMIECOLLINS","Jamie Collins","LB","NE",59,8
"NICKROACH","Nick Roach","LB","OAK",59.5,5.5
"BERNARDPOLLARD","Bernard Pollard","S","TEN",61.5,5.5
"MYCHALKENDRICKS","Mychal Kendricks","LB","PHI",62,16
"DEANDRELEVY","DeAndre Levy","LB","DET",64,0
"JUSTINTUCK","Justin Tuck","DE","OAK",64.5,3.5
"JAREDALLEN","Jared Allen","DE","CHI",66,6
"EVERSONGRIFFEN","Everson Griffen","DE","MIN",66,3
"ANTRELROLLE","Antrel Rolle","S","NYG",67,7
"RESHADJONES","Reshad Jones","S","MIA",69,12
"ERICBERRY","Eric Berry","S","KC",70.5,0.5
"RYANSHAZIER","Ryan Shazier","LB","PIT",71,9
"NAVORROBOWMAN","Navorro Bowman","LB","SF",73.5,15.5
"SHELDONRICHARDSON","Sheldon Richardson","DE","NYJ",74,8
"EARLTHOMAS","Earl Thomas","S","SEA",74,2
"NIGELBRADHAM","Nigel Bradham","LB","BUF",75.5,4.5
"GENOATKINS","Geno Atkins","DT","CIN",76,8
"CLIFFAVRIL","Cliff Avril","DE","SEA",77,2
"JONBEASON","Jon Beason","LB","NYG",78,9
"STEVIEBROWN","Stevie Brown","S","NYG",79,4
"KOAMISI","Koa Misi","LB","MIA",79,2
"JOPLOBARTU","Joplo Bartu","LB","ATL",82,4
"ROMANHARPER","Roman Harper","S","CAR",82,3
"BRIANROBISON","Brian Robison","DE","MIN",85,2
"KEVINMINTER","Kevin Minter","LB","ARI",86,28
"JURRELLCASEY","Jurrell Casey","DT","TEN",86,9
"WILLIAMMOORE","William Moore","S","ATL",87,11
"EMMANUELLAMUR","Emmanuel Lamur","LB","CIN",91.5,0.5
"GERALDMCCOY","Gerald McCoy","DT","TB",92,7
"CLAYMATTHEWS","Clay Matthews","LB","GB",96,12
"ZACHBROWN","Zach Brown","LB","TEN",97,7
"TELVINSMITH","Telvin Smith","LB","JAC",98.5,0.5
"LAMARRWOODLEY","LaMarr Woodley","LB","OAK",99,26
"DONTEWHITNER","Donte Whitner","S","CLE",99,6
"NDAMUKONGSUH","Ndamukong Suh","DT","DET",103.5,15.5
"CHARLESTILLMAN","Charles Tillman","CB","CHI",104,8
"DJWILLIAMS","D.J. Williams","LB","CHI",106,12
"GEORGESELVIE","George Selvie","DE","DAL",112,15
"BRUCECARTER","Bruce Carter","LB","DAL",121,26
NA,NA,NA,NA,NA,NA
