"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_nfl","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian"
"DAVONEBESS","Davone Bess","WR",NA,404,20.8,NA,NA,NA,NA,NA,NA,NA,20.8,NA,20.8,20.8
"JACKIEBATTLE","Jackie Battle","RB","TEN",405,20.7062947804031,47,5.4,NA,NA,NA,20.5,NA,NA,9.57,20.6175,20.7062947804031
"JORDANPALMER","Jordan Palmer","QB","CHI",406,20.59,25.46,23.2,NA,NA,NA,14.5,NA,NA,NA,21.0533333333333,20.59
"RONNIEBROWN","Ronnie Brown","RB","HOU",407,20.005,NA,NA,30.4,NA,NA,7.9,NA,46.6,17.02,25.4466666666667,20.005
"CHARLESJOHNSON","Charles Johnson","WR","CLE",408,20,NA,34.1,NA,NA,NA,9.9,6.4,NA,31.6,20.3333333333333,20
"JEDCOLLINS","Jed Collins","RB","DET",409,19.91,27.7,10.3,NA,NA,NA,NA,NA,NA,15.94,17.98,19.91
"JOSHMORGAN","Josh Morgan","WR","CHI",410,19.6500044818255,47.3,NA,NA,NA,NA,10.6,11.4,30.1,9.56,18.0066666666667,19.6500044818255
"JOHNATHANFRANKLIN","Johnathan Franklin","RB","GB",411,19.6,NA,NA,NA,NA,NA,NA,11.8,31.4,NA,19.6,19.6
"TARVARISJACKSON","Tarvaris Jackson","QB","SEA",412,19.48,NA,NA,NA,NA,NA,19.48,NA,NA,NA,19.48,19.48
"KELLENDAVIS","Kellen Davis","TE","NYG",413,19.35,NA,NA,NA,NA,NA,1.3,37.4,NA,NA,19.35,19.35
"MARKSANCHEZ","Mark Sanchez","QB","PHI",414,18.479722397666,24.18,9.54,12.72,NA,NA,7.2,8.76,49.56,NA,18.66,18.479722397666
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",415,17.2186056325148,22.7,14.2,NA,NA,NA,11.9,6.7,44.3,NA,16.3,17.2186056325148
"TANDONDOSS","Tandon Doss","WR","JAC",416,16.85,NA,NA,NA,NA,NA,6.8,NA,26.9,NA,16.85,16.85
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",417,16.77,20.2,17.1,NA,NA,NA,NA,NA,NA,15.69,17.6633333333333,16.77
"KYLEWILLIAMS","Kyle Williams","WR","KC",418,16.675,39.2,NA,NA,NA,NA,6.7,NA,NA,10.75,18.9666666666667,16.675
"DEMETRIUSHARRIS","Demetrius Harris","TE","KC",419,16.4,NA,NA,NA,NA,NA,NA,16.4,NA,NA,16.4,16.4
"GARYBARNIDGE","Gary Barnidge","TE","CLE",420,15.9,NA,NA,NA,NA,NA,14.6,7.7,NA,22.9,15,15.9
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",421,15.7558826102864,NA,28,NA,NA,NA,15.3,NA,28.8,5.08,15.351,15.7558826102864
"JOSHHILL","Josh Hill","TE","NO",422,15.6,NA,NA,NA,NA,NA,8.2,NA,NA,23,15.6,15.6
"JACOBYFORD","Jacoby Ford","WR","NYJ",423,15.55,NA,23.6,NA,NA,NA,6.8,24.9,16.5,NA,18.3833333333333,15.55
"JUSTINBROWN","Justin Brown","WR","PIT",423,15.55,NA,31.1,NA,NA,NA,NA,NA,NA,NA,15.55,15.55
"TYLERGAFFNEY","Tyler Gaffney","RB","NE",425,15.4,NA,NA,NA,NA,NA,NA,NA,30.8,NA,15.4,15.4
"CHASEFORD","Chase Ford","TE","MIN",426,15.3,NA,NA,NA,NA,NA,15.3,NA,NA,NA,15.3,15.3
"FRANKSUMMERS","Frank Summers","RB","BUF",427,15.1025,25,10.4,NA,NA,NA,NA,NA,NA,13.61,16.3366666666667,15.1025
"BRUCEMILLER","Bruce Miller","RB","SF",428,15.04,23.5,11.6,NA,NA,NA,NA,NA,NA,18.36,17.82,15.04
"MICHAELCOX","Michael Cox","RB","NYG",429,14.9519960159204,10.5,NA,NA,NA,NA,21,NA,NA,9.3,10.1666666666667,14.9519960159204
"BRENTONBERSIN","Brenton Bersin","WR","CAR",430,14.8,NA,NA,NA,NA,NA,NA,NA,NA,14.8,14.8,14.8
"ERIKLORIG","Erik Lorig","RB","NO",431,14.72,16.9,14.1,NA,NA,NA,NA,NA,NA,11.53,14.1766666666667,14.72
"MYLESWHITE","Myles White","WR","GB",432,14.7,NA,NA,NA,NA,NA,1.3,30.1,NA,NA,14.7,14.7
"CHRISRAINEY","Chris Rainey","RB","IND",433,14.6,14.6,NA,NA,NA,NA,NA,NA,NA,NA,14.6,14.6
"STEPHENHOUSTON","Stephen Houston","RB","PIT",434,14.5,NA,NA,NA,NA,NA,14.5,NA,NA,NA,14.5,14.5
"DIONSIMS","Dion Sims","TE","MIA",435,14.05,NA,NA,NA,NA,NA,12,NA,NA,16.1,14.05,14.05
"EDWINBAKER","Edwin Baker","RB","CLE",436,13.9663250101648,9.7,5.5,18.1,NA,NA,39.8,NA,NA,NA,18.1083333333333,13.9663250101648
"JOSHBOYCE","Josh Boyce","WR","NE",437,13.9,NA,NA,NA,NA,NA,14,NA,26.1,NA,13.3666666666667,13.9
"AJMCCARRON","A.J. McCarron","QB","CIN",438,13.39,NA,NA,NA,NA,NA,NA,NA,26.78,NA,13.39,13.39
"JARONBROWN","Jaron Brown","WR","ARI",439,13.3,NA,15,NA,NA,NA,11.6,NA,NA,NA,13.3,13.3
"VANCEMCDONALD","Vance McDonald","TE","SF",440,13.13,43.1,NA,NA,NA,NA,10.8,8.6,NA,14.72,19.305,13.13
"MARIONGRICE","Marion Grice","RB","SD",441,13.09502436925,20.6,NA,NA,NA,NA,1,NA,48.5,NA,17.525,13.09502436925
"DANESANZENBACHER","Dane Sanzenbacher","WR","CIN",442,13.0125,NA,16.7,NA,NA,NA,13.5,NA,NA,11.95,14.05,13.0125
"DOMENIKHIXON","Domenik Hixon","WR",NA,443,13,NA,NA,NA,NA,NA,NA,NA,13,NA,13,13
"CEDRICPEERMAN","Cedric Peerman","RB","CIN",444,12.9,10.1,15.2,NA,NA,NA,21.6,NA,NA,NA,15.6333333333333,12.9
"LAMICHAELJAMES","LaMichael James","RB","SF",445,12.8943579413804,9.8,6.8,NA,NA,NA,27,NA,NA,18.57,12.414,12.8943579413804
"ORSONCHARLES","Orson Charles","RB","CIN",446,12.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,12.8,12.8
"WILLIAMPOWELL","William Powell","RB","HOU",446,12.8,NA,NA,NA,NA,NA,12.8,NA,NA,NA,12.8,12.8
"STORMJOHNSON","Storm Johnson","RB","JAC",448,12.67,33.7,10.7,15.6,NA,NA,1,NA,NA,12.63,14.706,12.67
"RHETTELLISON","Rhett Ellison","TE","MIN",449,12.55,NA,NA,NA,NA,NA,8.3,NA,NA,16.8,12.55,12.55
"DERRICKCOLEMAN","Derrick Coleman","RB","SEA",450,12.475,23.6,11.7,NA,NA,NA,2.7,NA,NA,NA,12.6666666666667,12.475
"TOMMYBOHANON","Tommy Bohanon","RB","NYJ",451,12.415,19.8,6.1,NA,NA,NA,NA,NA,NA,13.28,13.06,12.415
"CRAIGSTEVENS","Craig Stevens","TE","TEN",452,12.35,NA,NA,NA,NA,NA,15.8,NA,NA,8.9,12.35,12.35
"CYRUSGRAY","Cyrus Gray","RB","KC",453,12.325,21.8,4.8,NA,NA,NA,14.2,NA,NA,NA,13.6,12.325
"CHASEDANIEL","Chase Daniel","QB","KC",454,12.09,NA,NA,NA,NA,NA,-1.24,14.76,NA,18.56,10.6266666666667,12.09
"TYRODTAYLOR","Tyrod Taylor","QB","BAL",455,12.06,NA,NA,NA,NA,NA,12.06,NA,NA,NA,12.06,12.06
"LAVELLEHAWKINS","Lavelle Hawkins","WR","TB",456,11.9,NA,NA,NA,NA,NA,NA,11.9,NA,NA,11.9,11.9
"STANLEYHAVILI","Stanley Havili","RB","IND",457,11.89,15.1,6,NA,NA,NA,17.1,NA,NA,14.96,13.29,11.89
"RYANWILLIAMS","Ryan Williams","RB","DAL",458,11.875,20.3,NA,10,NA,NA,14,6.3,NA,NA,12.15,11.875
"KENJONBARNER","Kenjon Barner","RB","CAR",459,11.740908954131,12.7,11.3,17.9,NA,NA,1.9,NA,NA,11.7,10.98,11.740908954131
"VIRGILGREEN","Virgil Green","TE","DEN",460,11.4,NA,NA,NA,NA,NA,5.6,NA,NA,17.2,11.4,11.4
"DIONLEWIS","Dion Lewis","RB","CLE",461,11.279348468339,24.9,NA,NA,NA,NA,2.7,16.6,NA,NA,11.05,11.279348468339
"MATTSPAETH","Matt Spaeth","TE","PIT",462,11.215,NA,NA,NA,NA,NA,10,NA,NA,12.43,11.215,11.215
"BEARPASCOE","Bear Pascoe","TE","ATL",463,11.145,NA,NA,NA,NA,NA,7.7,NA,NA,14.59,11.145,11.145
"MICHAELFORD","Michael Ford","RB","CHI",464,10.975,20.1,13.7,NA,NA,NA,1.6,NA,NA,NA,11.8,10.975
"ANTHONYARMSTRONG","Anthony Armstrong","WR","CLE",465,10.75,NA,NA,NA,NA,NA,NA,NA,NA,10.75,10.75,10.75
"JOSEPHMORGAN","Joseph Morgan","WR","NOS",466,10.6,NA,NA,NA,NA,NA,10.6,NA,NA,NA,10.6,10.6
"BRITTANGOLDEN","Brittan Golden","WR","ARI",467,10.3,NA,NA,NA,NA,NA,10.3,NA,NA,NA,10.3,10.3
"WILLJOHNSON","Will Johnson","RB","PIT",468,10.065,16.8,4.7,NA,NA,NA,NA,NA,NA,10.13,10.5433333333333,10.065
"MARCUSTHIGPEN","Marcus Thigpen","WR","MIA",469,9.8,NA,NA,NA,NA,NA,9.8,NA,NA,NA,9.8,9.8
"JAMESDEVELIN","James Develin","RB","NE",470,9.7,13.4,6,NA,NA,NA,NA,NA,NA,NA,9.7,9.7
"JORVORSKIELANE","Jorvorskie Lane","RB","TB",471,9.7,15.7,3.7,NA,NA,NA,NA,NA,NA,NA,9.7,9.7
"DAVIDPAULSON","David Paulson","TE","PIT",472,9.65,NA,NA,NA,NA,NA,5.7,13.6,NA,NA,9.65,9.65
"JALENPARMELE","Jalen Parmele","RB","ARI",473,9.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA,9.6,9.6
"MIKEGILLISLEE","Mike Gillislee","RB","MIA",474,9.55212637536989,8,22.1,NA,NA,NA,4.8,10.5,NA,NA,9.08,9.55212637536989
"JEROMEFELTON","Jerome Felton","RB","MIN",475,9.4,13.3,5.5,NA,NA,NA,NA,NA,NA,NA,9.4,9.4
"DEONTETHOMPSON","Deonte Thompson","WR","BAL",476,8.6,NA,NA,NA,NA,NA,8.6,NA,NA,NA,8.6,8.6
"THADDEUSLEWIS","Thaddeus Lewis","QB","BUF",477,8.57,NA,NA,NA,NA,NA,6.24,10.9,NA,NA,8.57,8.57
"KYLEJUSZCZYK","Kyle Juszczyk","RB","BAL",478,8.4,14.8,15.2,NA,NA,NA,NA,6.2,NA,NA,12.0666666666667,8.4
"ANTONESMITH","Antone Smith","RB","ATL",479,8.33067337941382,4.1,15.1,NA,NA,NA,15,NA,NA,NA,8.55,8.33067337941382
"JOEMCKNIGHT","Joe McKnight","RB","KC",480,8.25,12.7,NA,NA,NA,NA,3.8,NA,NA,NA,8.25,8.25
"MATTMOORE","Matt Moore","QB","MIA",481,8.17,23.98,NA,NA,NA,NA,3.48,2.64,NA,NA,9.36666666666667,8.17
"LEONWASHINGTON","Leon Washington","RB","TEN",482,8.1,11,5.2,NA,NA,NA,NA,NA,NA,NA,8.1,8.1
"DJWILLIAMS","D.J. Williams","TE","NE",483,7.75,NA,NA,NA,NA,NA,NA,15.5,NA,NA,7.75,7.75
"EVANROYSTER","Evan Royster","RB","WAS",484,7.7,7.3,NA,NA,NA,NA,8.1,NA,NA,NA,7.7,7.7
"RYANTAYLOR","Ryan Taylor","TE","GB",485,7.66,NA,NA,NA,NA,NA,1.6,NA,NA,13.72,7.66,7.66
"JEWELHAMPTON","Jewel Hampton","RB","SFO",486,7.6,NA,NA,NA,NA,NA,7.6,NA,NA,NA,7.6,7.6
"JAMESHANNA","James Hanna","TE","DAL",487,7.5,NA,NA,NA,NA,NA,7.5,NA,NA,NA,7.5,7.5
"TAVARRESKING","Tavarres King","WR","CAR",488,7.4,NA,NA,NA,NA,NA,NA,NA,NA,14.8,7.4,7.4
"HENRYHYNOSKI","Henry Hynoski","RB","NYG",489,6.9,17.5,3.7,NA,NA,NA,NA,NA,NA,9.65,10.2833333333333,6.9
"JOHNPHILLIPS","John Phillips","TE","SDC",489,6.9,NA,NA,NA,NA,NA,6.9,NA,NA,NA,6.9,6.9
"PATRICKDIMARCO","Patrick DiMarco","RB","ATL",491,6.8675,7.1,5.4,NA,NA,NA,NA,NA,NA,12.17,8.22333333333333,6.8675
"DREWSTANTON","Drew Stanton","QB","ARI",492,6.82,NA,NA,NA,NA,NA,3.46,1.68,NA,21.02,8.62,6.82
"TYLERCLUTTS","Tyler Clutts","RB","DAL",493,6.8,12.6,1,NA,NA,NA,NA,NA,NA,NA,6.8,6.8
"TJJONES","T.J. Jones","WR","DET",494,6.55,NA,13.1,NA,NA,NA,NA,NA,NA,NA,6.55,6.55
"ALVESTERALEXANDER","Alvester Alexander","RB","PIT",495,6.45,8.7,NA,NA,NA,NA,4.2,NA,NA,NA,6.45,6.45
"DANHERRON","Dan Herron","RB","IND",496,6.4,NA,36,NA,NA,NA,7.8,NA,NA,NA,14.2666666666667,6.4
"COLLINMOONEY","Collin Mooney","RB","TEN",497,6.2,11,1.4,NA,NA,NA,NA,NA,NA,NA,6.2,6.2
"JEREMYSTEWART","Jeremy Stewart","RB","OAK",498,6.15,11.8,NA,NA,NA,NA,0.5,NA,NA,NA,6.15,6.15
"BRUCEGRADKOWSKI","Bruce Gradkowski","QB","PIT",499,5.98,NA,NA,NA,NA,NA,0.24,7.4,NA,18.8,8.64666666666667,5.98
"BRICEBUTLER","Brice Butler","WR","OAK",500,5.3,NA,NA,NA,NA,NA,5.3,NA,NA,NA,5.3,5.3
"ISAIAHPEAD","Isaiah Pead","RB","STL",501,5.15,10.3,NA,NA,NA,NA,NA,NA,44.9,NA,13.8,5.15
"WILLTAUFOOU","Will Ta'ufo'ou","RB","JAC",502,5.11,8.2,2.9,NA,NA,NA,NA,NA,NA,8.54,6.54666666666667,5.11
"DAMARISJOHNSON","Damaris Johnson","WR","PHI",503,5.1,NA,NA,NA,NA,NA,2.6,7.6,NA,NA,5.1,5.1
"BROCKOSWEILER","Brock Osweiler","QB","DEN",504,5.04,NA,NA,NA,NA,NA,6.52,3.56,NA,NA,5.04,5.04
"JAYPROSCH","Jay Prosch","RB","HOU",505,4.9,7.6,2.2,NA,NA,NA,NA,NA,NA,NA,4.9,4.9
"JEREMYROSS","Jeremy Ross","WR","DET",506,4.89,NA,NA,NA,NA,NA,NA,NA,NA,4.89,4.89,4.89
"NILESPAUL","Niles Paul","TE","WAS",507,4.7,NA,NA,NA,NA,NA,4.7,NA,NA,NA,4.7,4.7
"BRANDONTATE","Brandon Tate","WR","CIN",508,4.47,NA,NA,NA,NA,NA,2.6,NA,NA,6.34,4.47,4.47
"MATTHASSELBECK","Matt Hasselbeck","QB","IND",509,4.36,NA,NA,NA,NA,NA,6.92,1.8,NA,NA,4.36,4.36
"MIGUELMAYSONET","Miguel Maysonet","RB","PIT",510,4.2,NA,4.2,NA,NA,NA,NA,NA,NA,NA,4.2,4.2
"MICHAELEGNEW","Michael Egnew","TE","MIA",511,4.1,NA,NA,NA,NA,NA,4.1,NA,NA,NA,4.1,4.1
"LEESMITH","Lee Smith","TE","BUF",512,4,NA,NA,NA,NA,NA,4,NA,NA,NA,4,4
"JAMESCASEY","James Casey","TE","PHI",513,3.8,NA,NA,NA,NA,NA,3.8,NA,NA,NA,3.8,3.8
"TONYFIAMMETTA","Tony Fiammetta","RB","CHI",514,3.375,13.8,4.4,NA,NA,NA,2.1,NA,NA,NA,6.76666666666667,3.375
"DEREKANDERSON","Derek Anderson","QB","CAR",515,3.28,26.86,NA,NA,NA,NA,0.58,1.24,NA,NA,9.56,3.28
"LONNIEPRYOR","Lonnie Pryor","RB","TB",516,3,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3
"PHILLIPTANNER","Phillip Tanner","RB","IND",517,2.8,NA,NA,NA,NA,NA,2.8,NA,NA,NA,2.8,2.8
"TAYLORTHOMPSON","Taylor Thompson","TE","TEN",518,2.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,2.5,2.5
"DEVINHESTER","Devin Hester","WR","ATL",519,2.435,NA,NA,NA,NA,NA,0.1,NA,NA,4.77,2.435,2.435
"JEFFDEMPS","Jeff Demps","RB","TBB",520,2.3,NA,NA,NA,NA,NA,2.3,NA,NA,NA,2.3,2.3
"TAURENPOOLE","Tauren Poole","RB","PIT",521,1.4,NA,NA,NA,NA,NA,1.4,NA,NA,NA,1.4,1.4
"DANTEROSARIO","Dante Rosario","TE","CHI",522,1.3,NA,NA,NA,NA,NA,1.3,NA,NA,NA,1.3,1.3
"MICHAELHILL","Michael Hill","RB","GBP",522,1.3,NA,NA,NA,NA,NA,1.3,NA,NA,NA,1.3,1.3
"SPENCERWARE","Spencer Ware","RB","SEA",524,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1
"SCOTTTOLZIEN","Scott Tolzien","QB","GBP",525,0.82,NA,NA,NA,NA,NA,0.82,NA,NA,NA,0.82,0.82
"ALEXGREEN","Alex Green","RB","NYJ",526,0.8,NA,NA,NA,NA,NA,0.8,NA,NA,NA,0.8,0.8
"TJYATES","T.J. Yates","QB","ATL",527,0.72,NA,NA,NA,NA,NA,0.359999999999999,1.08,NA,NA,0.72,0.72
"CHASEREYNOLDS","Chase Reynolds","RB","STL",528,0.6,NA,NA,NA,NA,NA,0.6,NA,NA,NA,0.6,0.6
"RYANMALLETT","Ryan Mallett","QB","NE",529,0.48,NA,NA,NA,NA,NA,0.28,0.68,NA,NA,0.48,0.48
"DANIELFELLS","Daniel Fells","TE","NYG",530,0.4,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.4,0.4
"GARRETTCELEK","Garrett Celek","TE","SFO",531,0.3,NA,NA,NA,NA,NA,0.3,NA,NA,NA,0.3,0.3
"BRADSMITH","Brad Smith","WR","PHI",532,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,0.2,0.2
"CIERREWOOD","Cierre Wood","RB","BAL",532,0.2,NA,NA,NA,NA,NA,0.4,NA,NA,NA,0.2,0.2
"JONASGRAY","Jonas Gray","RB","NEP",532,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,0.2,0.2
"SEYIAJIROTUTU","Seyi Ajirotutu","WR","SDC",532,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,0.2,0.2
"JEFFTUEL","Jeff Tuel","QB","BUF",536,0.16,NA,NA,NA,NA,NA,0.16,NA,NA,NA,0.16,0.16
"MATTBARKLEY","Matt Barkley","QB","PHI",536,0.16,NA,NA,NA,NA,NA,0.16,NA,NA,NA,0.16,0.16
"JOSHVAUGHAN","Josh Vaughan","RB","ATL",538,0.1,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1
"KENDALLGASKINS","Kendall Gaskins","RB","NYG",538,0.1,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1
"REXBURKHEAD","Rex Burkhead","RB","CIN",538,0.1,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1
"RONNIEWINGO","Ronnie Wingo","RB","BUF",538,0.1,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1
"COLTMCCOY","Colt McCoy","QB","WAS",542,0.08,NA,NA,NA,NA,NA,0.08,NA,NA,NA,0.08,0.08
"DANORLOVSKY","Dan Orlovsky","QB","DET",543,0.04,NA,NA,NA,NA,NA,0.04,NA,NA,NA,0.04,0.04
"AARONMURRAY","Aaron Murray","QB","KCC",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ANTONIOANDREWS","Antonio Andrews","RB","TEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"AUSTINDAVIS","Austin Davis","QB","STL",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"BENMALENA","Ben Malena","RB","DAL",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"BRADSORENSEN","Brad Sorensen","QB","SDC",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"BRANDONWILLIAMS","Brandon Williams","TE","CAR",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"BRENNANCLAY","Brennan Clay","RB","DEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CHRISHARPER","Chris Harper","WR","GBP",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CHRISTHOMPSON","Chris Thompson","RB","WAS",544,0,16.4,NA,NA,NA,NA,NA,NA,NA,NA,5.46666666666667,0
"COBIHAMILTON","Cobi Hamilton","WR","CIN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"COLTLYERLA","Colt Lyerla","TE","GBP",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"CROCKETTGILLMORE","Crockett Gillmore","TE","BAL",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"DAVIDFALES","David Fales","QB","CHI",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"DAVIDFLUELLEN","David Fluellen","RB","PHI",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"DAVIDWILSON","David Wilson","RB","NYG",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"DUSTINVAUGHAN","Dustin Vaughan","QB","DAL",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"HENRYJOSEY","Henry Josey","RB","PHI",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JEREMIAHJOHNSON","Jeremiah Johnson","RB","DEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JIMMYGAROPPOLO","Jimmy Garoppolo","QB","NEP",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JOEBANYARD","Joe Banyard","RB","MIN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JOEWEBB","Joe Webb","QB","CAR",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JORDANLYNCH","Jordan Lynch","RB","CHI",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JORDANNORWOOD","Jordan Norwood","WR","DEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JUWANTHOMPSON","Juwan Thompson","RB","DEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"KAPRIBIBBS","Kapri Bibbs","RB","DEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"KEALOHAPILARES","Kealoha Pilares","WR","CAR",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"KELLENMOORE","Kellen Moore","QB","DET",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"KENDALLHUNTER","Kendall Hunter","RB","SFO",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"KERWYNNWILLIAMS","Kerwynn Williams","RB","SDC",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"LANDRYJONES","Landry Jones","QB","PIT",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"LESTARJEAN","Lestar Jean","WR","MIN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"LUKEMCCOWN","Luke McCown","QB","NOS",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"MATTHEWMULLIGAN","Matthew Mulligan","TE","CHI",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"MATTHEWTUCKER","Matthew Tucker","RB","PHI",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"MCLEODBETHELTHOMPSON","McLeod Bethel-Thompson","QB","SFO",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"MIKEKAFKA","Mike Kafka","QB","TBB",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"NICKKASA","Nick Kasa","TE","OAK",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"RAJIONNEAL","Rajion Neal","RB","GBP",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"SEANRENFREE","Sean Renfree","QB","ATL",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"TOBAISPALMER","Tobais Palmer","WR","NOS",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"VICKBALLARD","Vick Ballard","RB","IND",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ZACDYSERT","Zac Dysert","QB","DEN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ZACHLINE","Zach Line","RB","MIN",544,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ERICPAGE","Eric Page","WR","TBB",587,-0.5,NA,NA,NA,NA,NA,-0.5,NA,NA,NA,-0.5,-0.5
"CURTISPAINTER","Curtis Painter","QB","NYG",588,-1.16,NA,NA,NA,NA,NA,-1.16,NA,NA,NA,-1.16,-1.16
"RYANLINDLEY","Ryan Lindley","QB","ARI",589,-1.22,NA,NA,NA,NA,NA,-1.22,NA,NA,NA,-1.22,-1.22
"MARCMARIANI","Marc Mariani","WR","TEN",590,-1.3,NA,NA,NA,NA,NA,-1.3,NA,NA,NA,-1.3,-1.3
"RYANNASSIB","Ryan Nassib","QB","NYG",591,-1.32,NA,NA,NA,NA,NA,-1.32,NA,NA,NA,-1.32,-1.32
"JEREMYEBERT","Jeremy Ebert","WR","ATL",592,-1.6,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,-1.6,-1.6
"TRINDONHOLLIDAY","Trindon Holliday","WR","NYG",593,-2,NA,NA,NA,NA,NA,-2,NA,NA,NA,-2,-2
"MATTSIMMS","Matt Simms","QB","NYJ",594,-2.22,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,-2.22,-2.22
