player,pos,team,overallRank,projections,projectedPtsMean,projectedPtsMedian,pick,sdPts,sdPick,risk,positionRank,vor
DeVier Posey,WR,HOU,356,31.10001778,25.32857143,31.10001778,NA,15.90066036,NA,5.132996863,152,-92.86145011
Rhett Ellison,TE,MIN,357,12.55,12.55,12.55,NA,6.01040764,NA,2.697159225,76,-93.2251391
Anthony Dixon,RB,BUF,358,24.775,21.83333333,24.775,NA,14.72288468,NA,4.842926385,103,-93.25375413
Craig Stevens,TE,TEN,359,12.35,12.35,12.35,NA,4.87903679,NA,2.41851764,77,-93.4251391
De'Anthony Thomas,RB,KC,360,24.6,24.2,24.6,192.5,12.76329372,1.5,3.145339023,104,-93.42875413
Lorenzo Taliaferro,RB,BAL,361,24.3066753,31,24.3066753,NA,15.07204919,NA,4.928920956,105,-93.72207884
Lache Seastrunk,RB,WAS,362,24.29286872,24.86,24.29286872,NA,16.88866484,NA,5.376329217,106,-93.73588541
Louis Murphy,WR,TB,363,29.75,29.4,29.75,NA,16.69917663,NA,5.329660793,153,-94.2114679
Charles Sims,RB,TB,364,23.69,26.3,23.69,169.7,13.2332748,19.9,5.114433124,107,-94.33875413
Virgil Green,TE,DEN,365,11.4,11.4,11.4,NA,8.202438662,NA,3.237027297,78,-94.3751391
Drew Davis,WR,ATL,366,29.4273778,27.25833333,29.4273778,NA,15.92282691,NA,5.138456187,154,-94.53409009
Matt Spaeth,TE,PIT,367,11.215,11.215,11.215,NA,1.718269478,NA,1.64006271,79,-94.5601391
Juron Criner,WR,OAK,368,29.375,29.5,29.375,NA,13.45696846,NA,4.531148063,155,-94.5864679
Bear Pascoe,TE,ATL,369,11.145,11.145,11.145,NA,4.871965722,NA,2.41677613,80,-94.6301391
Theo Riddick,RB,DET,370,23.3,26.45,23.3,181.5,12.43583532,13.4,4.34107485,108,-94.72875413
Shaun Draughn,RB,CHI,371,23.2199943,27.29333333,23.2199943,NA,21.18856925,NA,6.435338455,109,-94.80875984
Ricardo Lockette,WR,SEA,372,29.1,29.1,29.1,NA,NA,NA,NA,156,-94.8614679
Stedman Bailey,WR,STL,373,29.04,33.33166667,29.04,NA,17.73661843,NA,5.585168904,157,-94.9214679
Justin Forsett,RB,BAL,374,23.09999655,23.175,23.09999655,NA,14.26218777,NA,4.729462866,110,-94.92875759
Dennis Johnson,RB,HOU,375,22.2,21.36666667,22.2,NA,13.93000359,NA,4.647650322,111,-95.82875413
David Paulson,TE,PIT,376,9.65,9.65,9.65,NA,5.586143571,NA,2.59266863,81,-96.1251391
Josh Huff,WR,PHI,377,27.75,24.24166667,27.75,NA,9.772538053,NA,3.623721884,158,-96.2114679
Marcus Harris,WR,NYG,378,27.4,27.4,27.4,NA,NA,NA,NA,159,-96.5614679
Geno Smith,QB,NYJ,379,224.1106549,219.42,224.1106549,173.2,22.84817842,15,5.789478588,28,-96.8433494
Michael Preston,WR,TEN,380,27,27,27,NA,NA,NA,NA,160,-96.9614679
John Kuhn,RB,GB,381,21.00803353,21.15166667,21.00803353,NA,13.17673075,NA,4.462129246,112,-97.02072061
Jackie Battle,RB,TEN,382,20.70629478,20.6175,20.70629478,NA,18.70534393,NA,5.823753104,113,-97.32245935
Ronnie Brown,RB,HOU,383,20.005,25.44666667,20.005,NA,16.84130636,NA,5.364665455,114,-98.02375413
D.J. Williams,TE,NE,384,7.75,7.75,7.75,NA,NA,NA,NA,82,-98.0251391
Ryan Taylor,TE,GB,385,7.66,7.66,7.66,NA,8.570134188,NA,3.327585812,83,-98.1151391
Jed Collins,RB,DET,386,19.91,17.98,19.91,NA,8.877567234,NA,3.40330248,115,-98.11875413
James Hanna,TE,DAL,387,7.5,7.5,7.5,NA,NA,NA,NA,84,-98.2751391
Johnathan Franklin,RB,GB,388,19.6,19.6,19.6,NA,13.85929291,NA,4.630235223,116,-98.42875413
John Phillips,TE,SDC,389,6.9,6.9,6.9,NA,NA,NA,NA,85,-98.8751391
Rishard Matthews,WR,MIA,390,24.4,24.4,24.4,NA,12.68778941,NA,4.341709499,161,-99.5614679
Leonard Hankerson,WR,WAS,391,24,27,24,NA,19.0827933,NA,5.91671386,162,-99.9614679
Mike Thomas,WR,HOU,392,23.25,23.25,23.25,NA,30.19345956,NA,8.653123112,163,-100.7114679
Daryl Richardson,RB,NYJ,393,17.21860563,16.3,17.21860563,NA,14.78100132,NA,4.857239739,117,-100.8101485
Niles Paul,TE,WAS,394,4.7,4.7,4.7,NA,NA,NA,NA,86,-101.0751391
Robert Herron,WR,TB,395,22.725,25.8,22.725,NA,15.73891144,NA,5.093160255,164,-101.2364679
Anthony Sherman,RB,KC,396,16.77,17.66333333,16.77,NA,2.307169984,NA,1.785101069,118,-101.2587541
Dwayne Harris,WR,DAL,397,22.68,19.89833333,22.68,NA,20.72637289,NA,6.321505644,165,-101.2814679
Damian Williams,WR,MIA,398,22.575,24.075,22.575,NA,15.81062407,NA,5.110822121,166,-101.3864679
Michael Egnew,TE,MIA,399,4.1,4.1,4.1,NA,NA,NA,NA,87,-101.6751391
Lee Smith,TE,BUF,400,4,4,4,NA,NA,NA,NA,88,-101.7751391
James Casey,TE,PHI,401,3.8,3.8,3.8,NA,NA,NA,NA,89,-101.9751391
Tyler Gaffney,RB,NE,402,15.4,15.4,15.4,NA,NA,NA,NA,119,-102.6287541
Nick Toon,WR,NO,403,21.32803353,26.475,21.32803353,NA,22.78265056,NA,6.827939471,167,-102.6334344
Frank Summers,RB,BUF,404,15.1025,16.33666667,15.1025,NA,7.672420305,NA,3.106490828,120,-102.9262541
Bruce Miller,RB,SF,405,15.04,17.82,15.04,NA,5.968349856,NA,2.686800952,121,-102.9887541
Michael Cox,RB,NYG,406,14.95199602,10.16666667,14.95199602,NA,6.436614017,NA,2.802128184,122,-103.0767581
Davone Bess,WR,NA,407,20.8,20.8,20.8,NA,NA,NA,NA,168,-103.1614679
Taylor Thompson,TE,TEN,408,2.5,2.5,2.5,NA,NA,NA,NA,90,-103.2751391
Erik Lorig,RB,NO,409,14.72,14.17666667,14.72,NA,2.685820793,NA,1.878357724,123,-103.3087541
Chris Rainey,RB,IND,410,14.6,14.6,14.6,NA,NA,NA,NA,124,-103.4287541
Stephen Houston,RB,PIT,411,14.5,14.5,14.5,NA,NA,NA,NA,125,-103.5287541
Charles Johnson,WR,CLE,412,20,20.33333333,20,195,14.36825204,3.7,3.571494283,169,-103.9614679
Edwin Baker,RB,CLE,413,13.96632501,18.10833333,13.96632501,NA,15.27620699,NA,4.979202306,126,-104.0624291
Josh Morgan,WR,CHI,414,19.65000448,18.00666667,19.65000448,NA,16.60238898,NA,5.305823284,170,-104.3114634
Dante Rosario,TE,CHI,415,1.3,1.3,1.3,NA,NA,NA,NA,91,-104.4751391
Marion Grice,RB,SD,416,13.09502437,17.525,13.09502437,NA,23.87055369,NA,7.095875534,127,-104.9337298
Cedric Peerman,RB,CIN,417,12.9,15.63333333,12.9,NA,5.762233363,NA,2.636037203,128,-105.1287541
LaMichael James,RB,SF,418,12.89435794,12.414,12.89435794,NA,9.125927807,NA,3.464470384,129,-105.1343962
Orson Charles,RB,CIN,419,12.8,12.8,12.8,NA,NA,NA,NA,130,-105.2287541
William Powell,RB,HOU,419,12.8,12.8,12.8,NA,NA,NA,NA,130,-105.2287541
Storm Johnson,RB,JAC,421,12.67,14.706,12.67,162.5,11.93504839,21.5,5.12075814,132,-105.3587541
Daniel Fells,TE,NYG,422,0.4,0.4,0.4,NA,NA,NA,NA,92,-105.3751391
Garrett Celek,TE,SFO,423,0.3,0.3,0.3,NA,NA,NA,NA,93,-105.4751391
Derrick Coleman,RB,SEA,424,12.475,12.66666667,12.475,NA,10.48347907,NA,3.798817195,133,-105.5537541
Tommy Bohanon,RB,NYJ,425,12.415,13.06,12.415,NA,6.852649123,NA,2.904592095,134,-105.6137541
Cyrus Gray,RB,KC,426,12.325,13.6,12.325,NA,8.515867542,NA,3.314220659,135,-105.7037541
Brandon Williams,TE,CAR,427,0,0,0,NA,NA,NA,NA,94,-105.7751391
Colt Lyerla,TE,GBP,427,0,0,0,NA,NA,NA,NA,94,-105.7751391
Crockett Gillmore,TE,BAL,427,0,0,0,NA,NA,NA,NA,94,-105.7751391
Matthew Mulligan,TE,CHI,427,0,0,0,NA,NA,NA,NA,94,-105.7751391
Nick Kasa,TE,OAK,427,0,0,0,NA,NA,NA,NA,94,-105.7751391
Stanley Havili,RB,IND,432,11.89,13.29,11.89,NA,4.957324547,NA,2.437798872,136,-106.1387541
Ryan Williams,RB,DAL,433,11.875,12.15,11.875,NA,5.991382701,NA,2.692473636,137,-106.1537541
Kenjon Barner,RB,CAR,434,11.74090895,10.98,11.74090895,NA,5.784461946,NA,2.641511807,138,-106.2878452
Dion Lewis,RB,CLE,435,11.27934847,11.05,11.27934847,NA,11.21710004,NA,3.979498279,139,-106.7494057
Michael Ford,RB,CHI,436,10.975,11.8,10.975,NA,9.395211546,NA,3.530791386,140,-107.0537541
Tandon Doss,WR,JAC,437,16.85,16.85,16.85,NA,14.2128463,NA,4.717310719,171,-107.1114679
Kyle Williams,WR,KC,438,16.675,18.96666667,16.675,NA,17.71089589,NA,5.578833785,172,-107.2864679
Will Johnson,RB,PIT,439,10.065,10.54333333,10.065,NA,6.06058028,NA,2.709516079,141,-107.9637541
Travis Benjamin,WR,CLE,440,15.75588261,15.351,15.75588261,NA,11.31589295,NA,4.003829658,173,-108.2055853
James Develin,RB,NE,441,9.7,9.7,9.7,NA,5.232590181,NA,2.505593135,142,-108.3287541
Jorvorskie Lane,RB,TB,441,9.7,9.7,9.7,NA,8.485281374,NA,3.306687693,143,-108.3287541
Jacoby Ford,WR,NYJ,443,15.55,18.38333333,15.55,NA,8.299598384,NA,3.260956443,174,-108.4114679
Justin Brown,WR,PIT,443,15.55,15.55,15.55,NA,NA,NA,NA,174,-108.4114679
Jalen Parmele,RB,ARI,445,9.6,9.6,9.6,NA,NA,NA,NA,144,-108.4287541
Mike Gillislee,RB,MIA,446,9.552126375,9.08,9.552126375,NA,7.536798613,NA,3.07308901,145,-108.4766278
Jerome Felton,RB,MIN,447,9.4,9.4,9.4,NA,5.515432893,NA,2.575253531,146,-108.6287541
Brenton Bersin,WR,CAR,448,14.8,14.8,14.8,NA,NA,NA,NA,176,-109.1614679
Myles White,WR,GB,449,14.7,14.7,14.7,NA,20.3646753,NA,6.232424339,177,-109.2614679
Kyle Juszczyk,RB,BAL,450,8.4,12.06666667,8.4,NA,5.084617324,NA,2.469149389,147,-109.6287541
Antone Smith,RB,ATL,451,8.330673379,8.55,8.330673379,NA,6.322183167,NA,2.773945388,148,-109.6980808
Joe McKnight,RB,KC,452,8.25,8.25,8.25,NA,6.293250353,NA,2.766819621,149,-109.7787541
Leon Washington,RB,TEN,453,8.1,8.1,8.1,NA,4.101219331,NA,2.22695155,150,-109.9287541
Josh Boyce,WR,NE,454,13.9,13.36666667,13.9,NA,8.555992052,NA,3.324102792,178,-110.0614679
Evan Royster,RB,WAS,455,7.7,7.7,7.7,NA,0.565685425,NA,1.356196595,151,-110.3287541
Jewel Hampton,RB,SFO,456,7.6,7.6,7.6,NA,NA,NA,NA,152,-110.4287541
Jaron Brown,WR,ARI,457,13.3,13.3,13.3,NA,2.404163056,NA,1.808989172,179,-110.6614679
Dane Sanzenbacher,WR,CIN,458,13.0125,14.05,13.0125,NA,2.422292303,NA,1.813454164,180,-110.9489679
Domenik Hixon,WR,NA,459,13,13,13,NA,NA,NA,NA,181,-110.9614679
Henry Hynoski,RB,NYG,460,6.9,10.28333333,6.9,NA,6.921765189,NA,2.921614462,153,-111.1287541
Patrick DiMarco,RB,ATL,461,6.8675,8.223333333,6.8675,NA,3.5220212,NA,2.084302757,154,-111.1612541
Tyler Clutts,RB,DAL,462,6.8,6.8,6.8,NA,8.202438662,NA,3.237027297,155,-111.2287541
Alvester Alexander,RB,PIT,463,6.45,6.45,6.45,NA,3.181980515,NA,2.000555262,156,-111.5787541
Dan Herron,RB,IND,464,6.4,14.26666667,6.4,NA,19.94041123,NA,6.127933745,157,-111.6287541
Collin Mooney,RB,TEN,465,6.2,6.2,6.2,NA,6.788225099,NA,2.888725315,158,-111.8287541
Jeremy Stewart,RB,OAK,466,6.15,6.15,6.15,NA,7.990306627,NA,3.184781999,159,-111.8787541
Lavelle Hawkins,WR,TB,467,11.9,11.9,11.9,NA,NA,NA,NA,182,-112.0614679
Isaiah Pead,RB,STL,468,5.15,13.8,5.15,NA,24.46589463,NA,7.242500086,160,-112.8787541
Will Ta'ufo'ou,RB,JAC,469,5.11,6.546666667,5.11,NA,3.16267819,NA,1.995801356,161,-112.9187541
Jay Prosch,RB,HOU,470,4.9,4.9,4.9,NA,3.818376618,NA,2.157291153,162,-113.1287541
Anthony Armstrong,WR,CLE,471,10.75,10.75,10.75,NA,NA,NA,NA,183,-113.2114679
Joseph Morgan,WR,NOS,472,10.6,10.6,10.6,NA,NA,NA,NA,184,-113.3614679
Brittan Golden,WR,ARI,473,10.3,10.3,10.3,NA,NA,NA,NA,185,-113.6614679
Miguel Maysonet,RB,PIT,474,4.2,4.2,4.2,NA,NA,NA,NA,163,-113.8287541
Marcus Thigpen,WR,MIA,475,9.8,9.8,9.8,NA,NA,NA,NA,186,-114.1614679
Tony Fiammetta,RB,CHI,476,3.375,6.766666667,3.375,NA,6.198655768,NA,2.743522234,164,-114.6537541
Lonnie Pryor,RB,TB,477,3,3,3,NA,NA,NA,NA,165,-115.0287541
Phillip Tanner,RB,IND,478,2.8,2.8,2.8,NA,NA,NA,NA,166,-115.2287541
Deonte Thompson,WR,BAL,479,8.6,8.6,8.6,NA,NA,NA,NA,187,-115.3614679
Jeff Demps,RB,TBB,480,2.3,2.3,2.3,NA,NA,NA,NA,167,-115.7287541
Tavarres King,WR,CAR,481,7.4,7.4,7.4,NA,NA,NA,NA,188,-116.5614679
Tauren Poole,RB,PIT,482,1.4,1.4,1.4,NA,NA,NA,NA,168,-116.6287541
Michael Hill,RB,GBP,483,1.3,1.3,1.3,NA,NA,NA,NA,169,-116.7287541
Spencer Ware,RB,SEA,484,1,1,1,NA,NA,NA,NA,170,-117.0287541
Alex Green,RB,NYJ,485,0.8,0.8,0.8,NA,NA,NA,NA,171,-117.2287541
T.J. Jones,WR,DET,486,6.55,6.55,6.55,NA,NA,NA,NA,189,-117.4114679
Chase Reynolds,RB,STL,487,0.6,0.6,0.6,NA,NA,NA,NA,172,-117.4287541
Cierre Wood,RB,BAL,488,0.2,0.2,0.2,NA,NA,NA,NA,173,-117.8287541
Jonas Gray,RB,NEP,488,0.2,0.2,0.2,NA,NA,NA,NA,173,-117.8287541
Josh Vaughan,RB,ATL,490,0.1,0.1,0.1,NA,NA,NA,NA,175,-117.9287541
Kendall Gaskins,RB,NYG,490,0.1,0.1,0.1,NA,NA,NA,NA,175,-117.9287541
Rex Burkhead,RB,CIN,490,0.1,0.1,0.1,NA,NA,NA,NA,175,-117.9287541
Ronnie Wingo,RB,BUF,490,0.1,0.1,0.1,NA,NA,NA,NA,175,-117.9287541
Antonio Andrews,RB,TEN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Ben Malena,RB,DAL,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Brennan Clay,RB,DEN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Chris Thompson,RB,WAS,494,0,5.466666667,0,NA,NA,NA,NA,179,-118.0287541
David Fluellen,RB,PHI,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
David Wilson,RB,NYG,494,0,0,0,142.5,NA,8.8956,3.466743671,179,-118.0287541
Henry Josey,RB,PHI,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Jeremiah Johnson,RB,DEN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Joe Banyard,RB,MIN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Jordan Lynch,RB,CHI,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Juwan Thompson,RB,DEN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Kapri Bibbs,RB,DEN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Kendall Hunter,RB,SFO,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Kerwynn Williams,RB,SDC,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Matthew Tucker,RB,PHI,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Rajion Neal,RB,GBP,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Vick Ballard,RB,IND,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Zach Line,RB,MIN,494,0,0,0,NA,NA,NA,NA,179,-118.0287541
Brice Butler,WR,OAK,512,5.3,5.3,5.3,NA,NA,NA,NA,190,-118.6614679
Damaris Johnson,WR,PHI,513,5.1,5.1,5.1,NA,3.535533906,NA,2.087630757,191,-118.8614679
Jeremy Ross,WR,DET,514,4.89,4.89,4.89,NA,NA,NA,NA,192,-119.0714679
Brandon Tate,WR,CIN,515,4.47,4.47,4.47,NA,2.644579362,NA,1.868200508,193,-119.4914679
Devin Hester,WR,ATL,516,2.435,2.435,2.435,NA,3.302188668,NA,2.03016093,194,-121.5264679
Brad Smith,WR,PHI,517,0.2,0.2,0.2,NA,NA,NA,NA,195,-123.7614679
Seyi Ajirotutu,WR,SDC,517,0.2,0.2,0.2,NA,NA,NA,NA,195,-123.7614679
Chris Harper,WR,GBP,519,0,0,0,NA,NA,NA,NA,197,-123.9614679
Cobi Hamilton,WR,CIN,519,0,0,0,NA,NA,NA,NA,197,-123.9614679
Jordan Norwood,WR,DEN,519,0,0,0,NA,NA,NA,NA,197,-123.9614679
Kealoha Pilares,WR,CAR,519,0,0,0,NA,NA,NA,NA,197,-123.9614679
Lestar Jean,WR,MIN,519,0,0,0,NA,NA,NA,NA,197,-123.9614679
Tobais Palmer,WR,NOS,519,0,0,0,NA,NA,NA,NA,197,-123.9614679
Eric Page,WR,TBB,525,-0.5,-0.5,-0.5,NA,NA,NA,NA,203,-124.4614679
Marc Mariani,WR,TEN,526,-1.3,-1.3,-1.3,NA,NA,NA,NA,204,-125.2614679
Jeremy Ebert,WR,ATL,527,-1.6,-1.6,-1.6,NA,NA,NA,NA,205,-125.5614679
Trindon Holliday,WR,NYG,528,-2,-2,-2,NA,NA,NA,NA,206,-125.9614679
Ryan Fitzpatrick,QB,HOU,529,194.9086671,194.4114286,194.9086671,180,41.39185082,18.1,8.395007328,29,-126.0453372
Matt Schaub,QB,OAK,530,192.2797511,195.2385714,192.2797511,190.9,51.91234677,16.1,9.482795205,30,-128.6742532
Teddy Bridgewater,QB,MIN,531,162.6728571,165.0071429,162.6728571,186.5,70.1630574,23.7,12.51966536,31,-158.2811472
Chad Henne,QB,JAC,532,159.6062461,160.6357143,159.6062461,191.2,42.76445425,23.2,9.093774373,32,-161.3477582
Matt Cassel,QB,MIN,533,114.831334,118.5914286,114.831334,199.8,51.49607345,36.6,11.56088124,33,-206.1226703
Michael Vick,QB,NYJ,534,87.29331242,85.32714286,87.29331242,224.3,64.99676882,38,13.36882089,34,-233.6606919
Blake Bortles,QB,JAC,535,70.55858209,80.53,70.55858209,234,39.45273332,32,9.600019264,35,-250.3954222
Brian Hoyer,QB,CLE,536,70.01998218,79,70.01998218,210,54.06453872,36.8,11.89794476,36,-250.9340221
Case Keenum,QB,HOU,537,52.455,41.16,52.455,NA,34.92770247,NA,9.819104144,37,-268.4990043
Derek Carr,QB,OAK,538,51.73020079,55.80666667,51.73020079,NA,41.36604598,NA,11.40478248,38,-269.2238035
Mike Glennon,QB,TB,539,51.54306489,53.65428571,51.54306489,246.5,17.10169471,42.5,7.93827888,39,-269.4109394
Tom Savage,QB,HOU,540,49.35065549,68.13,49.35065549,NA,58.01504862,NA,15.50521028,40,-271.6033488
Charlie Whitehurst,QB,TEN,541,39.30015822,50.23,39.30015822,NA,39.72390045,NA,11.00034388,41,-281.6538461
Thad Lewis,QB,BUF,542,36.62,40.52,36.62,NA,30.58158923,NA,8.748714286,42,-284.3340043
Kirk Cousins,QB,WAS,543,36.39491034,35.61714286,36.39491034,NA,13.75652503,NA,4.604924862,43,-284.559094
Jason Campbell,QB,CIN,544,34.75210028,33.94333333,34.75210028,NA,35.81323591,NA,10.03719925,44,-286.201904
Shaun Hill,QB,STL,545,33.70439246,24.64,33.70439246,NA,19.90856968,NA,6.120091595,45,-287.2496118
Christian Ponder,QB,MIN,546,31.73,31.73,31.73,NA,21.67989391,NA,6.556345182,46,-289.2240043
Kellen Clemens,QB,SDC,547,31.08,31.08,31.08,NA,NA,NA,NA,47,-289.8740043
Matt McGloin,QB,OAK,548,29.44,29.44,29.44,NA,20.70408655,NA,6.316016815,48,-291.5140043
Brandon Weeden,QB,DAL,549,27.48091598,24.82666667,27.48091598,NA,22.94794108,NA,6.868648327,49,-293.4730883
Matt Flynn,QB,GB,550,26.24,29.79333333,26.24,NA,30.55614068,NA,8.742446647,50,-294.7140043
Josh Freeman,QB,NYG,551,25.28,25.28,25.28,NA,NA,NA,NA,51,-295.6740043
Terrelle Pryor,QB,SEA,552,24.09,24.09,24.09,NA,32.03193719,NA,9.105915688,52,-296.8640043
Blaine Gabbert,QB,SF,553,24.03,24.03,24.03,NA,33.75727773,NA,9.530844106,53,-296.9240043
Kyle Orton,QB,NA,554,21.66,21.66,21.66,NA,NA,NA,NA,54,-299.2940043
Jimmy Clausen,QB,CHI,555,21.62,21.62,21.62,NA,NA,NA,NA,55,-299.3340043
Zach Mettenberger,QB,TEN,556,21.14,21.69333333,21.14,NA,14.70782105,NA,4.839216412,56,-299.8140043
Jordan Palmer,QB,CHI,557,20.59,21.05333333,20.59,NA,5.786754992,NA,2.642076554,57,-300.3640043
Tarvaris Jackson,QB,SEA,558,19.48,19.48,19.48,NA,NA,NA,NA,58,-301.4740043
Mark Sanchez,QB,PHI,559,18.4797224,18.66,18.4797224,NA,16.3283802,NA,5.238338567,59,-302.4742819
A.J. McCarron,QB,CIN,560,13.39,13.39,13.39,NA,NA,NA,NA,60,-307.5640043
Chase Daniel,QB,KC,561,12.09,10.62666667,12.09,NA,10.5077749,NA,3.804800935,61,-308.8640043
Tyrod Taylor,QB,BAL,562,12.06,12.06,12.06,NA,NA,NA,NA,62,-308.8940043
Thaddeus Lewis,QB,BUF,563,8.57,8.57,8.57,NA,3.2951176,NA,2.02841942,63,-312.3840043
Matt Moore,QB,MIA,564,8.17,9.366666667,8.17,NA,12.08546786,NA,4.193365717,64,-312.7840043
Drew Stanton,QB,ARI,565,6.82,8.62,6.82,NA,10.68922822,NA,3.849490474,65,-314.1340043
Bruce Gradkowski,QB,PIT,566,5.98,8.646666667,5.98,NA,9.360370363,NA,3.522210466,66,-314.9740043
Brock Osweiler,QB,DEN,567,5.04,5.04,5.04,NA,2.093036072,NA,1.732362736,67,-315.9140043
Matt Hasselbeck,QB,IND,568,4.36,4.36,4.36,NA,3.62038672,NA,2.108528876,68,-316.5940043
Derek Anderson,QB,CAR,569,3.28,9.56,3.28,NA,14.98587335,NA,4.907696994,69,-317.6740043
Scott Tolzien,QB,GBP,570,0.82,0.82,0.82,NA,NA,NA,NA,70,-320.1340043
T.J. Yates,QB,ATL,571,0.72,0.72,0.72,NA,0.509116882,NA,1.342264516,71,-320.2340043
Ryan Mallett,QB,NE,572,0.48,0.48,0.48,NA,0.282842712,NA,1.286536199,72,-320.4740043
Jeff Tuel,QB,BUF,573,0.16,0.16,0.16,NA,NA,NA,NA,73,-320.7940043
Matt Barkley,QB,PHI,573,0.16,0.16,0.16,NA,NA,NA,NA,73,-320.7940043
Colt McCoy,QB,WAS,575,0.08,0.08,0.08,NA,NA,NA,NA,75,-320.8740043
Dan Orlovsky,QB,DET,576,0.04,0.04,0.04,NA,NA,NA,NA,76,-320.9140043
Aaron Murray,QB,KCC,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Austin Davis,QB,STL,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Brad Sorensen,QB,SDC,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
David Fales,QB,CHI,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Dustin Vaughan,QB,DAL,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Jimmy Garoppolo,QB,NEP,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Joe Webb,QB,CAR,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Kellen Moore,QB,DET,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Landry Jones,QB,PIT,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Luke McCown,QB,NOS,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
McLeod Bethel-Thompson,QB,SFO,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Mike Kafka,QB,TBB,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Sean Renfree,QB,ATL,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Zac Dysert,QB,DEN,577,0,0,0,NA,NA,NA,NA,77,-320.9540043
Curtis Painter,QB,NYG,591,-1.16,-1.16,-1.16,NA,NA,NA,NA,91,-322.1140043
Ryan Lindley,QB,ARI,592,-1.22,-1.22,-1.22,NA,NA,NA,NA,92,-322.1740043
Ryan Nassib,QB,NYG,593,-1.32,-1.32,-1.32,NA,NA,NA,NA,93,-322.2740043
Matt Simms,QB,NYJ,594,-2.22,-2.22,-2.22,NA,NA,NA,NA,94,-323.1740043
